,Laconia(New Hampshire),Rutland(Vermont),Scranton(Pennsylvania),Alexandria(Virginia),Murfreesboro(Tennessee),Baltimore(Maryland),Johnson City(Tennessee),Worcester(Massachusetts),Philadelphia(Pennsylvania),Fort Wayne(Indiana),Gary(Indiana),Ann Arbor(Michigan),Hartford(Connecticut),Dover(Delaware),Montgomery(Alabama),Lafayette(Indiana),Lafayette(Louisiana),Memphis(Tennessee),Norfolk(Virginia),New Orleans(Louisiana),Harrisburg(Pennsylvania),Bloomington(Indiana),Hamilton(New Jersey),Charlottesville(Virginia),Montpelier(Vermont),Johnstown(Pennsylvania),Milwaukee(Wisconsin),Manassas(Virginia),Cleveland(Ohio),Providence(Rhode Island),Greensboro(North Carolina),Nashville(Tennessee),Panama City(Florida),Troy(New York),Fayetteville-A(Arkansas),Erie(Pennsylvania),New Haven(Connecticut),Saginaw(Michigan),Reading(Pennsylvania),Bridgeport(Connecticut),Springdale(Arkansas),Syracuse(New York),Sanford(Maine),Cumberland(Maryland),Gaithersburg(Maryland),Buffalo(New York),Columbia-SC(South Carolina),Charleston(West Virginia),Youngstown(Ohio),Clarksburg(West Virginia),Lansing(Michigan),Owensboro(Kentucky),Springfield-I(Illinois),Nashua(New Hampshire),Burlington(Vermont),Raleigh(North Carolina),Bloomington(Illinois),Manchester(New Hampshire),Pittsfield(Massachusetts),Rochester(New Hampshire),Annapolis(Maryland),New Bern (North Carolina),Bowling Green(Kentucky),Michigan City(Michigan),Warwick(Rhode Island),Westbrook(Maine),New Bedford(Massachusetts),Stamford(Connecticut),Chelsea(Massachusetts),Birmingham(Alabama),Southaven(Mississippi),Fayetteville(North Carolina),Savannah(Georgia),Atlantic City(New Jersey),Lynchburg(Virginia),Augusta(Maine),New Rochelle(New York),Knoxville(Tennessee),Monroe(Louisiana),Elizabethtown(Kentucky),St. Louis(Missouri),Mobile(Alabama),Florence(Kentucky),York(Pennsylvania),Rockville(Maryland),South Bend(Indiana),Washington(DC),Valdosta(Georgia),Lewiston(Maine),Miami(Florida),Columbia(Maryland),Summerville(South Carolina),Akron(Ohio),Tonawanda(New York),Carmel(Indiana),Springfield(Massachusetts),Auburn(Maine),Jersey City(New Jersey),Greenville(South Carolina),Lexington(Kentucky),Evansville(Indiana),Richmond(Virginia),Frankfort(Kentucky),Columbus(Ohio),Blacksburg(Virginia),St. Petersburg(Florida),JacksonM(Mississippi),Keene(New Hampshire),Kenosha(Wisconsin),Allentown(Pennsylvania),Grand Rapids(Michigan),Tallahassee(Florida),Portsmouth(New Hampshire),Pittsburgh(Pennsylvania),Quincy(Massachusetts),Lancaster(Pennsylvania),Hagerstown(Maryland),Salisbury(Maryland),Wilmington-D(Delaware),Woodbridge(New Jersey),Jackson(Tennessee),Wheeling(West Virginia),Orlando(Florida),Biddeford(Maine),Conway(Arkansas),Portland(Maine),Bentonville(Arkansas),Dayton(Ohio),Jacksonville(Florida),Silver Spring(Maryland),Binghamton(New York),Jonesboro(Arkansas),Tampa(Florida),Concord(New Hampshire),Newport(Rhode Island),Winooski(Vermont),Kalamazoo(Michigan),Chicago(Illinois),Traverse city (Michigan),Tuscaloosa(Alabama),Springfield-M(Missouri),Hattiesburg(Mississippi),Winston-Salem(North Carolina),Champaign(Illinois),Durham(North Carolina),Dothan(Alabama),Utica(New York),Virginia Beach(Virginia),Baton Rouge(Louisiana),Rockford(Illinois),Cambridge(Massachusetts),Middletown(New Jersey),Biloxi(Mississippi),El Dorado(Arkansas),Jefferson City(Missouri),Toledo(Ohio),Cape Coral(Florida),Wilmington(North Carolina),Charlotte(North Carolina),Hilton Head Island(South Carolina),Blue Springs (Missouri),New York City(New York),Weirton(West Virginia),Chattanooga(Tennessee),Terre Haute(Indiana),Newark(New Jersey),Gainesville(Florida),Bossier City(Louisiana),Paterson(New Jersey),Cincinnati(Ohio),Morgantown(West Virginia),Yonkers(New York),Huntington(West Virginia),Flint(Michigan),Lebanon(New Hampshire),Kingsport(Tennessee),Louisville(Kentucky),Lake Charles(Louisiana),Albany(New York),Lorain(Ohio),Trenton(New Jersey),Indianapolis(Indiana),Brockton(Massachusetts),Huntsville(Alabama),Bangor(Maine),Shreveport(Louisiana),Mount Vernon(New York),Fall River(Massachusetts),Martinsburg(West Virginia),Atlanta(Georgia),Little Rock(Arkansas),Boston(Massachusetts),Peoria(Illinois),Tupelo(Mississippi),Seaford(Delaware),Parkersburg(West Virginia),Macon(Georgia),Sheboygan(Wisconsin),Muncie(Indiana),Detroit(Michigan)
Biloxi(Mississippi),inf,inf,inf,1849.0,749.0,inf,1152.0,inf,inf,inf,inf,inf,inf,inf,379.0,inf,325.0,603.0,1887.0,144.0,2403.2,inf,2517.3,1651.0,inf,2613.0,inf,1783.0,2935.0,inf,1424.1,697.0,412.0,2926.2,1000.0,2881.2,3386.8999999999996,3345.0,2455.0,3412.8999999999996,1013.0,2813.2,3315.2,2482.0,2317.0,3011.0,984.0,1632.0,2507.0,1835.0,2763.0,917.0,1610.0,2955.0,2841.0,1360.0,1547.0,2924.0,2650.0,2958.0,2136.0,1448.0,801.0,1468.7,2892.6,3037.0,2911.0,2769.7,2873.2,487.0,580.0,1255.0,1063.0,2420.0,1473.0,3125.0,2682.0,984.0,467.0,917.0,1250.0,111.0,1124.0,2210.0,1805.7,1487.0,1774.0,626.0,2923.0,1280.0,1825.3,1136.0,1518.0,1917.7,1291.0,2523.0,2867.5,2165.4,872.0,1053.0,981.0,1519.0,1050.0,1317.0,1315.0,985.0,268.0,2446.4,1573.9,1970.4,1662.7,507.0,2536.9,1614.0,2458.7,1867.5,1774.8,1879.4,1859.4,2025.4,734.0,1523.0,920.0,2588.7,744.0,2626.7999999999997,1036.0,1231.0,772.0,1687.4,2138.0,725.0,950.0,2510.5,2371.5,2588.0,1604.0,1470.9,1887.7,426.0,1073.0,163.0,1165.0,1294.0,1265.0,422.0,2187.0,1680.0,238.0,1590.0,2440.5,2059.4,0.0,575.0,1295.0,1470.0,1141.0,1320.0,1035.0,992.0,1329.0,2071.7000000000003,1558.0,821.0,1160.0,2052.4,747.0,622.0,2065.4,1144.0,1586.0,2104.8,1254.0,1645.0,2538.2,1106.7,984.0,442.0,2332.0,1517.0,1965.4,1168.0,2452.5,650.0,2828.7,617.0,2107.6,2406.2,1737.0,638.0,691.0,2435.5,1439.0,505.0,1857.4,1418.0,774.0,1713.9,1257.0,1563.0
El Dorado(Arkansas),inf,inf,inf,2001.0,891.0,inf,1304.0,inf,inf,inf,inf,inf,inf,inf,704.0,inf,402.0,422.0,1943.0,538.0,2459.2,inf,2573.3,1707.0,inf,2669.0,inf,1839.0,2991.0,inf,1480.1,756.0,1007.0,2982.2,496.0,2937.2,3442.8999999999996,3401.0,2511.0,3468.8999999999996,509.0,2869.2,3371.2,2538.0,2373.0,3067.0,1309.0,1688.0,2563.0,1891.0,2819.0,976.0,1669.0,3014.0,2900.0,1604.0,1606.0,2983.0,2709.0,3017.0,2298.0,1773.0,860.0,1527.7,2951.6,3096.0,2970.0,2828.7,2932.2,851.0,445.0,1580.0,1392.0,2534.0,1623.0,3184.0,2741.0,1040.0,108.0,976.0,1039.0,793.0,1183.0,2269.0,1932.7,1546.0,1901.0,1282.0,2982.0,1936.0,1952.3,1461.0,1577.0,1976.7,1350.0,2582.0,2926.5,2292.4,1197.0,1112.0,1040.0,1795.0,1109.0,1376.0,1436.0,1641.0,307.0,2642.4,1621.0,2129.0,1721.7,1002.0,2732.9,1673.0,2654.7,2056.0,1874.0,2075.4,2055.4,2221.4,553.0,1582.0,1415.0,2784.7,240.0,2822.7999999999997,532.0,1290.0,1267.0,1883.4,2197.0,396.0,1445.0,2706.5,2567.5,2647.0,1663.0,1518.0,1946.7,608.0,690.0,454.0,1435.0,1348.0,1567.0,874.0,2246.0,1919.0,407.0,1515.0,2636.5,2255.4,575.0,0.0,912.0,1529.0,1636.0,1627.0,1342.0,1441.0,946.0,2267.7000000000003,1617.0,960.0,1219.0,2248.4,1242.0,149.0,2261.4,1203.0,1645.0,2300.8,1313.0,1704.0,2615.0,1201.0,1043.0,422.0,2391.0,1576.0,2161.4,1227.0,2648.5,857.0,3024.7,157.0,2303.6,2602.2,1860.0,945.0,192.0,2631.5,1315.0,583.0,2053.4,1477.0,1081.0,1755.0,1316.0,1622.0
Jefferson City(Missouri),inf,inf,inf,2175.0,1065.0,inf,1478.0,inf,inf,954.0,742.9,1086.6,inf,inf,1507.0,674.0,inf,692.0,2213.0,2205.0,2729.2,674.0,2843.3,1977.0,inf,2939.0,839.0,2109.0,1209.0,inf,1750.1,1026.0,1686.0,2219.0,422.4,1374.0,2462.7,1167.6,1841.0,2488.7,409.4,1772.0,2391.0,1594.0,1773.0,1526.0,1841.0,1958.0,1301.0,1773.0,1051.6,547.0,378.0,2364.0,2250.0,1618.0,480.0,2333.0,2059.0,2367.0,1849.0,1802.0,663.0,790.5999999999999,2301.6,2446.0,2320.0,2178.7,2282.2,977.0,715.0,1651.1,1643.0,2014.0,1637.0,2534.0,2091.0,1054.0,1020.0,701.0,214.0,1327.0,868.0,1779.0,1781.0,848.0,1812.4,1581.0,2492.0,2297.0,1804.0,1653.0,1244.0,1545.7,774.0,2151.0,2495.5,2068.0,1344.0,825.0,483.0,1584.0,763.0,1009.0,1306.0,2012.0,1033.0,2280.0,796.0,1818.0,984.5999999999999,1461.0,2368.2,1306.0,2294.0,1689.0,1563.0,1837.0,1801.0,1912.0,823.0,1215.0,1874.0,2421.2,675.0,2447.0,380.0,923.0,1726.0,1653.0,1800.0,570.0,1904.0,2315.0,2221.8,2250.0,935.5999999999999,693.0,1209.6,1077.0,222.0,1175.0,1449.0,523.0,1581.0,1294.0,1849.0,1754.0,1298.0,690.0,2275.0,1944.0,1295.0,912.0,0.0,1025.0,2095.0,1767.0,1446.0,1710.0,225.0,1920.0,1248.0,984.0,662.0,1891.0,1701.0,1061.0,1905.0,836.0,1329.0,1944.4,1002.0,1104.6,2218.0,1215.0,676.0,1334.0,1994.0,1167.0,1850.0,726.0,2300.8,949.0,2654.0,1069.0,1952.1,2254.5,1549.0,1167.0,725.0,2274.0,490.0,853.0,1815.0,1160.0,1303.0,930.0,815.0,1118.0
Toledo(Ohio),inf,inf,867.0,inf,inf,1189.0,inf,inf,887.0,164.0,355.7,87.0,inf,1020.0,inf,351.0,inf,inf,1448.0,3781.0,723.0,449.0,956.3,1511.2,inf,504.0,557.6,1542.0,184.0,inf,1726.0,2420.0,3080.0,1194.0,3290.0,349.0,1437.7,226.0,814.0,1463.7,3303.0,747.0,1366.0,567.0,746.0,501.0,1959.0,530.0,276.0,525.0,192.0,699.0,647.0,1339.0,1225.0,1212.0,584.0,1308.0,1034.0,1342.0,822.0,1396.0,815.0,308.0,1276.6,1421.0,1295.0,1153.7,1257.2,1129.0,1276.0,1242.0,1701.0,987.0,897.0,1509.0,1066.0,1180.0,1793.0,853.0,811.0,1505.0,346.0,752.0,754.0,250.0,785.4,1587.0,1467.0,2298.0,777.0,1333.0,219.0,520.7,342.0,1126.0,1470.5,1043.0,1024.0,460.0,635.0,963.4,455.0,228.0,752.0,2018.0,1384.0,1255.0,508.6,851.0,299.0,1467.0,1343.2,396.0,1269.0,779.0,676.0,950.0,914.0,1002.0,984.0,426.7,1880.0,1396.2,1390.0,1422.0,1318.0,239.0,1732.0,773.0,775.0,1229.0,1910.0,1290.0,1308.7,1225.0,245.0,405.59999999999997,473.0,1083.0,1160.0,1511.0,955.0,502.0,1087.0,1300.0,824.0,1125.4,1649.0,550.5999999999999,1250.0,1036.0,1470.0,1529.0,1025.0,0.0,2101.0,1307.1,1032.0,1443.0,1182.0,1012.0,378.0,909.0,489.0,983.0,1707.0,1678.0,997.0,326.0,507.0,1036.4,448.0,175.0,1193.0,897.0,486.0,1853.0,969.0,142.0,942.0,363.0,1276.0,955.0,1629.0,1686.0,1044.1,1274.0,713.8,1092.0,1337.0,1249.0,647.0,1268.0,937.0,409.0,1228.0,648.5999999999999,274.0,93.0
Cape Coral(Florida),inf,inf,inf,2768.0,1668.0,inf,2071.0,inf,inf,inf,inf,inf,inf,inf,971.0,inf,inf,1786.0,2606.0,1285.0,3122.2,inf,3236.3,2370.0,inf,3332.0,inf,2502.0,3654.0,inf,2143.1,1328.0,790.0,3557.2,2201.0,3512.2,4017.8999999999996,3976.0,3086.0,4043.8999999999996,2214.0,3444.2,3946.2,3113.0,2948.0,3642.0,1070.0,1913.0,2788.0,2116.0,3044.0,1548.0,2241.0,3268.2,3154.2,1446.0,2178.0,3237.2,2986.0,3271.2,2222.0,1534.0,1432.0,2099.7,3228.6,3350.2,3247.0,3182.9,3209.2,1118.0,1642.0,1341.0,705.0,2469.0,1522.0,3401.2,2928.2,1489.0,1567.0,1548.0,1881.0,1030.0,1755.0,2306.0,1854.7,2118.0,1823.0,583.0,3026.6,251.0,1874.3,940.0,2149.0,2548.7,1922.0,2700.4,3022.1,2206.4,1184.0,1684.0,1612.0,1637.0,1681.0,1948.0,1463.0,183.0,1329.0,2586.4,2204.9,2110.4,2293.7,634.0,2676.9,2039.0,2598.7,2007.5,1922.8,2008.0,1999.4,2165.4,1539.0,1948.0,252.0,2728.7,1805.0,2766.7999999999997,2097.0,1862.0,478.0,1827.4,2296.6,1784.0,206.0,2650.5,2511.5,2734.7,2235.0,2101.9,2518.7,1138.0,2132.0,1182.0,1313.0,1925.0,1399.0,801.0,2456.6,1809.0,1379.0,2221.0,2580.5,2199.4,1141.0,1636.0,2095.0,2101.0,0.0,1230.0,1183.0,772.0,2252.0,2211.7,1992.0,1133.0,1791.0,2192.4,407.0,1683.0,2205.4,1775.0,1939.0,2244.8,1767.0,2276.0,2678.2,1418.7,1615.0,1583.0,2474.8,2148.0,2105.4,1799.0,2592.5,1278.0,2968.7,1689.0,2247.6,2546.2,1885.0,950.0,1752.0,2575.5,2070.0,1557.0,1997.4,1810.0,825.0,2344.9,1888.0,2194.0
Wilmington(North Carolina),inf,inf,inf,645.0,1061.0,1042.0,562.0,inf,1212.0,inf,inf,inf,inf,1243.0,941.0,inf,inf,1348.0,638.0,1639.0,1154.2,inf,1268.3,594.0,inf,1364.0,inf,632.0,1686.0,inf,307.0,1017.0,1244.0,1677.2,1887.0,1632.2,2137.9,2096.0,1206.0,2163.9,1900.0,1564.2,2066.2,1171.0,1068.0,1700.0,336.0,801.0,1676.0,1004.0,1932.0,1237.0,1930.0,2039.2,1925.2,208.0,1867.0,2008.2,1757.0,2042.2,993.0,155.0,1121.0,1788.7,1999.6,2121.2,2018.0,1953.9,1980.2,919.0,1371.0,150.0,525.0,1277.0,495.0,2209.2,1736.2,713.0,1537.0,1133.0,1553.0,1209.0,1101.0,1114.0,688.7,1694.7,657.0,824.0,1860.6,1305.0,708.3,290.0,1223.4,1424.1,1594.0,1542.4,1864.1,1048.4,484.0,987.0,1284.0,479.0,1034.0,1103.0,555.1,1109.0,1320.0,1428.4,1699.0,952.4,1606.1,943.0,1518.9,1046.4,1440.7,849.5,771.4,850.0,841.4,1007.4,1209.0,1040.1,978.0,1570.6999999999998,1614.0,1608.7999999999997,1906.0,1192.1,752.0,669.4,1138.6,1453.0,1074.0,1492.5,1353.5,1576.6999999999998,1528.1,1596.0,1780.1,1019.0,1801.0,1361.0,352.1,1563.1,245.4,1110.0,1298.6,651.0,1558.0,1741.0,1422.5,1041.4,1320.0,1627.0,1767.0,1307.1,1230.0,0.0,321.0,458.0,1924.0,1053.7,1084.1,865.0,1463.0,1034.4,868.0,1674.0,1047.4,1121.0,978.0,1086.8,859.1,1482.1,1520.1999999999998,599.7,1112.0,1762.0,1316.8,1279.1,947.4,1296.0,1434.5,1040.0,1810.6999999999998,1680.0,1089.6,1388.1999999999998,757.0,682.0,1561.0,1417.5,1708.1,1492.0,839.4,902.1,791.0,1839.0,1385.0,1400.1
Charlotte(North Carolina),inf,inf,inf,628.0,683.0,1023.0,241.0,inf,1193.0,inf,inf,inf,inf,1224.0,656.0,inf,inf,1010.0,632.0,1354.0,1148.2,inf,1262.3,451.0,inf,1358.0,inf,577.0,1680.0,inf,151.0,679.0,959.0,1671.2,1549.0,1626.2,2131.9,2090.0,1200.0,2157.9,1562.0,1558.2,2060.2,872.0,1051.0,1401.0,150.0,502.0,1377.0,705.0,1633.0,899.0,1592.0,1988.0,1874.0,241.0,1529.0,1957.0,1705.8,1991.0,987.0,415.0,783.0,1450.7,1948.3999999999999,2070.0,1966.8,1902.7,1929.0,634.0,1033.0,222.0,478.0,1271.0,339.0,2158.0,1685.0,392.0,1252.0,812.0,1232.0,924.0,780.0,1108.0,671.7,1469.0,640.0,764.0,1843.6,1258.0,691.3,302.0,968.0,1367.7,1273.0,1525.4,1847.1,1031.4,163.0,666.0,963.0,473.0,713.0,804.0,280.0,1062.0,1035.0,1411.4,1423.9,935.4,1331.0,883.0,1501.9,856.0,1423.7,832.5,739.8,844.0,824.4,990.4,888.0,765.0,931.0,1553.6999999999998,1293.0,1591.7999999999997,1585.0,887.0,705.0,652.4,1121.6,1132.0,1027.0,1475.5,1336.5,1559.6999999999998,1253.0,1320.9,1505.0,734.0,1480.0,1076.0,130.0,1276.0,230.0,826.0,1281.6,645.0,1273.0,1465.9,1405.5,1024.4,1035.0,1342.0,1446.0,1032.0,1183.0,321.0,0.0,411.0,1603.0,1036.7,809.0,567.0,1142.0,1017.4,821.0,1389.0,1030.4,800.0,756.0,1069.8,584.0,1207.0,1503.1999999999998,278.7,791.0,1477.0,1299.8,1004.0,930.4,975.0,1417.5,742.0,1793.6999999999998,1395.0,1072.6,1371.1999999999998,702.0,397.0,1240.0,1400.5,1421.0,1171.0,822.4,627.0,533.0,1563.9,1064.0,1125.0
Hilton Head Island(South Carolina),inf,inf,inf,1031.0,1012.0,inf,624.0,inf,inf,inf,inf,inf,inf,inf,755.0,inf,inf,1339.0,1024.0,1453.0,1540.2,inf,1654.3,946.0,inf,1750.0,inf,1018.0,2072.0,inf,562.0,1008.0,718.0,2063.2,1878.0,2018.2,2523.8999999999996,2482.0,1592.0,2549.8999999999996,1891.0,1950.2,2452.2,1619.0,1454.0,2148.0,261.0,1104.0,1979.0,1307.0,2235.0,1228.0,1921.0,2425.2,2311.2,594.0,1858.0,2394.2,2143.0,2428.2,1379.0,613.0,1112.0,1779.7,2385.6,2507.2,2404.0,2339.8999999999996,2366.2,733.0,1300.0,489.0,67.0,1663.0,750.0,2595.2,2122.2,717.0,1351.0,1137.0,1496.0,1019.0,1105.0,1500.0,1074.7,1733.0,1043.0,366.0,2246.6,847.0,1094.3,168.0,1499.0,1810.1,1537.0,1928.4,2250.1,1434.4,427.0,991.0,1227.0,865.0,1038.0,1298.0,691.0,651.0,1134.0,1814.4,1819.9,1338.4,1742.0,485.0,1904.9,1267.0,1826.7,1235.5,1150.8,1236.0,1227.4,1393.4,1154.0,1176.0,520.0,1956.7,1560.0,1994.8,1852.0,1212.0,294.0,1055.4,1524.6,1399.0,616.0,1878.5,1739.5,1962.7,1664.0,1690.9,1916.0,833.0,1747.0,1033.0,541.0,1540.0,627.0,652.0,1684.6,1037.0,1230.0,1835.9,1808.5,1427.4,992.0,1441.0,1710.0,1443.0,772.0,458.0,411.0,0.0,1867.0,1439.7,1220.0,679.0,1406.0,1420.4,410.0,1488.0,1433.4,1125.0,1167.0,1472.8,995.0,1618.0,1906.2,661.7,1116.0,1434.0,1702.8,1415.0,1333.4,1300.0,1820.5,854.0,2196.7,1494.0,1475.6000000000001,1774.2,1113.0,469.0,1507.0,1803.5,1685.0,1408.0,1225.4,1038.0,333.0,1933.9,1389.0,1536.0
Blue Springs (Missouri),inf,inf,inf,2209.0,1099.0,inf,1512.0,inf,inf,1111.0,899.9,1243.6,inf,inf,1541.0,831.0,inf,726.0,2247.0,2239.0,2763.2,831.0,2877.3,2011.0,inf,2973.0,996.0,2143.0,1366.0,inf,1784.1,1060.0,1720.0,2376.0,456.4,1531.0,2619.7,1324.6,1998.0,2645.7,443.4,1929.0,2548.0,1751.0,1930.0,1683.0,1875.0,1992.0,1458.0,1930.0,1208.6,704.0,535.0,2521.0,2407.0,1775.0,637.0,2490.0,2216.0,2524.0,2006.0,1959.0,820.0,947.5999999999999,2458.6,2603.0,2477.0,2335.7,2439.2,1134.0,749.0,1808.1,1800.0,2171.0,1794.0,2691.0,2248.0,1211.0,1054.0,858.0,371.0,1361.0,1025.0,1936.0,1938.0,1005.0,1969.4,1738.0,2649.0,2454.0,1961.0,1810.0,1401.0,1702.7,931.0,2308.0,2652.5,2225.0,1501.0,982.0,640.0,1741.0,920.0,1166.0,1463.0,2169.0,1067.0,2437.0,953.0,1975.0,1141.6,1618.0,2525.2,1463.0,2451.0,1846.0,1720.0,1994.0,1958.0,2069.0,857.0,1372.0,2031.0,2578.2,709.0,2604.0,414.0,1080.0,1883.0,1810.0,1957.0,604.0,2061.0,2472.0,2378.8,2407.0,1092.6,850.0,1366.6,1234.0,256.0,1209.0,1606.0,680.0,1738.0,1451.0,2006.0,1911.0,1332.0,847.0,2432.0,2101.0,1329.0,946.0,225.0,1182.0,2252.0,1924.0,1603.0,1867.0,0.0,2077.0,1405.0,1141.0,819.0,2048.0,1858.0,1095.0,2062.0,993.0,1486.0,2101.4,1159.0,1261.6,2375.0,1372.0,833.0,1368.0,2151.0,1324.0,2007.0,883.0,2457.8,1106.0,2811.0,1103.0,2109.1,2411.5,1706.0,1324.0,759.0,2431.0,647.0,887.0,1972.0,1317.0,1460.0,1087.0,972.0,1275.0
New York City(New York),480.8,410.0,213.3,inf,inf,457.5,inf,296.8,168.5,1245.0,1458.0,1168.0,191.79999999999998,301.5,inf,1432.0,inf,inf,729.5,3062.5,338.5,1530.0,102.5,1001.5,519.0,552.5,1659.9,1041.5,873.5,311.79999999999995,1225.5,1919.5,2579.5,275.0,2789.5,731.3,138.8,1283.5,270.5,109.30000000000001,2802.5,421.0,563.8,566.5,409.5,626.0,1526.5,936.5,993.5,745.5,1249.5,1756.5,1704.5,379.79999999999995,523.0,1159.5,1641.5,412.59999999999997,330.5,477.79999999999995,390.5,1343.5,1872.5,1423.5,298.8,578.8,366.99999999999994,69.80000000000001,372.0,2081.5,2225.5,1264.5,1854.5,209.5,1037.5,648.8,35.1,1586.5,2727.5,1910.5,1868.5,2399.5,1389.5,332.5,401.5,1307.5,403.9,1820.9,606.8,2301.9,372.4,1278.9,836.5,644.0,1397.5,238.49999999999997,610.3,12.5,1206.9,1219.5,1537.5,581.9,1266.5,1038.5,838.9,2097.9,2078.9,367.5,1564.1,161.0,1311.0,1926.9,458.0,616.0,379.79999999999995,269.0,416.0,398.0,219.5,46.3,1719.7,707.0,1959.7,517.0,2128.7000000000003,555.1,2215.0,1026.0,1733.7,384.3,306.0,1967.7,2055.7,438.79999999999995,299.8,523.0,1257.0,1417.6,1485.0,1770.7,2057.0,2112.7000000000003,919.6999999999999,1397.0,817.6999999999999,1862.7,386.2,630.3,2309.7000000000003,1562.6,368.79999999999995,81.5,2071.7000000000003,2267.7000000000003,1920.0,1012.0,2211.7,1053.7,1036.7,1439.7,2077.0,0.0,674.0,1401.7,1319.0,29.0,1849.7,2416.7000000000003,36.3,1086.0,641.0,34.2,973.0,1187.0,466.5,1066.7,1246.0,2513.7,264.2,875.4,106.3,1194.0,380.79999999999995,1576.7,757.0,2424.7000000000003,35.9,334.5,453.8,1433.7,2075.7000000000003,363.79999999999995,1542.0,2006.7,353.3,818.0,1569.7,1660.6,1277.0,1105.0
Weirton(West Virginia),inf,inf,535.0,874.0,inf,457.0,787.0,inf,549.0,495.0,708.0,465.0,inf,658.0,1687.0,622.0,inf,1573.0,824.0,2385.0,385.0,615.0,618.3,692.0,inf,166.0,909.9,478.0,222.0,inf,862.0,1242.0,1902.0,862.0,2112.0,264.0,1322.7,604.0,476.0,1348.7,2125.0,662.0,1251.0,229.0,408.0,416.0,1150.0,307.0,238.0,186.0,570.0,870.0,918.0,1224.0,1110.0,902.0,855.0,1193.0,941.8,1227.0,484.0,1086.0,986.0,697.0,1184.3999999999999,1306.0,1202.8,1068.7,1165.0,1300.0,1447.0,1007.0,1478.0,649.0,674.0,1394.0,921.0,957.0,1964.0,1024.0,1075.0,1676.0,434.0,414.0,416.0,628.0,447.4,1675.0,1352.0,2258.0,439.0,1293.0,159.0,435.7,560.0,1033.8,1355.5,661.5,984.0,548.0,767.0,625.4,543.0,241.0,529.0,1871.0,1472.0,1041.5,860.9,513.0,677.0,1555.0,1132.0,58.0,1053.8,441.0,338.0,612.0,576.0,664.0,1072.0,48.7,1740.0,1191.0,1478.0,1229.1,1543.0,354.0,1514.0,435.0,630.0,1317.0,1836.0,1112.8,973.8,1110.0,623.0,757.9,851.0,1171.0,1385.0,1599.0,732.0,725.0,864.0,1388.0,739.0,787.4,1737.0,902.9,1042.8,698.0,1558.0,1617.0,1248.0,378.0,1992.0,1084.1,809.0,1220.0,1405.0,674.0,0.0,997.0,647.0,645.0,1630.0,1766.0,659.0,414.0,129.0,698.4,353.0,553.0,1078.0,764.0,574.0,1941.0,856.0,251.0,604.0,522.0,1054.8,1043.0,1431.0,1774.0,706.1,1008.5,350.0,1180.0,1425.0,1037.8,870.0,1356.0,599.0,189.0,1316.0,1000.9,605.0,471.0
Chattanooga(Tennessee),inf,inf,inf,1042.0,172.0,inf,345.0,inf,inf,inf,inf,inf,inf,inf,442.0,inf,inf,538.0,1080.0,1140.0,1596.2,inf,1710.3,844.0,inf,1806.0,inf,976.0,2128.0,inf,617.1,217.0,745.0,2119.2,1077.0,2074.2,2579.8999999999996,2538.0,1648.0,2605.8999999999996,1090.0,2006.2,2508.2,1675.0,1510.0,2204.0,529.0,825.0,1700.0,1028.0,1956.0,437.0,1130.0,2311.0,2197.0,741.0,1067.0,2280.0,2028.8,2314.0,1435.0,925.0,321.0,988.7,2271.4,2393.0,2289.8,2225.7,2252.0,338.0,561.0,774.1,612.0,1671.0,760.0,2481.0,2008.0,175.0,1038.0,437.0,770.0,710.0,563.0,1466.2,1069.7,1007.0,1038.0,550.0,2241.6,1266.0,1089.3,681.0,957.0,1356.7,811.0,1923.4,2245.1,1429.4,417.0,449.0,501.0,932.0,496.0,756.0,570.0,981.0,739.0,1776.4,1093.9,1300.4,1182.7,669.0,1866.9,1053.0,1788.7,1197.5,1105.8,1209.4,1189.4,1355.4,420.0,962.0,916.0,1918.7,821.0,1956.8,1113.0,670.0,752.0,1017.4,1486.6,660.0,937.0,1840.5,1701.5,1924.6999999999998,1124.0,990.9,1382.0,424.0,1008.0,862.0,572.0,814.0,704.0,612.0,1626.0,1053.0,990.0,1110.0,1770.5,1389.4,821.0,960.0,984.0,909.0,1133.0,865.0,567.0,679.0,1141.0,1401.7,997.0,0.0,680.0,1382.4,726.0,1079.0,1395.4,583.0,982.0,1434.8,650.0,1084.0,1868.1999999999998,335.0,504.0,1194.0,1664.8,956.0,1295.4,688.0,1782.5,175.0,2158.7,1085.0,1437.6,1736.1999999999998,1068.0,183.0,768.0,1765.5,959.0,699.0,1187.4,814.0,319.0,1233.9,777.0,1002.0
